"","orig.ident","nCount_RNA","nFeature_RNA","Cell","Batch","Group","ExpLibSize","RNA_snn_res.0.8","seurat_clusters"
"Cell33","SeuratProject",34428,6238,"Cell33","Batch1","Group4",34362.7655637059,"1","1"
"Cell34","SeuratProject",53711,7769,"Cell34","Batch1","Group1",54213.4454900279,"0","0"
"Cell35","SeuratProject",72196,8923,"Cell35","Batch1","Group1",71552.0279422616,"0","0"
"Cell36","SeuratProject",55330,7936,"Cell36","Batch1","Group1",55411.5150991407,"0","0"
"Cell37","SeuratProject",74084,9106,"Cell37","Batch1","Group4",74483.1770441333,"3","3"
"Cell38","SeuratProject",95727,9958,"Cell38","Batch1","Group4",96212.3627076502,"0","0"
"Cell39","SeuratProject",60807,8316,"Cell39","Batch1","Group1",60996.5504574901,"0","0"
"Cell40","SeuratProject",69751,8804,"Cell40","Batch1","Group3",70552.9465066948,"2","2"
"Cell41","SeuratProject",69474,8797,"Cell41","Batch1","Group4",69099.392352506,"3","3"
"Cell42","SeuratProject",58523,8170,"Cell42","Batch1","Group1",57932.4320706267,"0","0"
"Cell43","SeuratProject",70306,8946,"Cell43","Batch1","Group2",70236.5103976697,"1","1"
"Cell44","SeuratProject",42881,6946,"Cell44","Batch1","Group3",43251.3226220584,"2","2"
"Cell45","SeuratProject",69325,8689,"Cell45","Batch1","Group1",69016.0340321371,"0","0"
"Cell46","SeuratProject",77117,9232,"Cell46","Batch1","Group1",77401.5130629056,"0","0"
"Cell47","SeuratProject",62376,8321,"Cell47","Batch1","Group2",62294.2404636291,"1","1"
"Cell48","SeuratProject",92594,9907,"Cell48","Batch1","Group1",92202.5264224594,"0","0"
"Cell49","SeuratProject",58123,8128,"Cell49","Batch1","Group4",57947.8008497682,"3","3"
"Cell50","SeuratProject",51598,7597,"Cell50","Batch1","Group1",50724.967426291,"0","0"
"Cell51","SeuratProject",55001,7870,"Cell51","Batch1","Group1",55112.2470203334,"1","1"
"Cell52","SeuratProject",80906,9236,"Cell52","Batch1","Group1",81298.814017793,"0","0"
"Cell53","SeuratProject",48547,7459,"Cell53","Batch1","Group1",48553.6770670908,"0","0"
"Cell54","SeuratProject",62456,8304,"Cell54","Batch1","Group1",62667.0566354572,"0","0"
"Cell55","SeuratProject",51243,7577,"Cell55","Batch1","Group4",51479.8135652904,"3","3"
"Cell56","SeuratProject",79041,9272,"Cell56","Batch1","Group1",79437.5256798526,"0","0"
"Cell57","SeuratProject",76124,9127,"Cell57","Batch1","Group3",76181.6941025597,"2","2"
"Cell58","SeuratProject",67453,8800,"Cell58","Batch1","Group1",67060.429202448,"0","0"
"Cell59","SeuratProject",79034,9218,"Cell59","Batch1","Group1",78555.5652602793,"0","0"
"Cell60","SeuratProject",58181,7987,"Cell60","Batch1","Group3",57524.5994574854,"2","2"
"Cell61","SeuratProject",69769,8749,"Cell61","Batch1","Group4",70055.3969728372,"3","3"
"Cell62","SeuratProject",85915,9538,"Cell62","Batch1","Group4",85673.0195030085,"3","3"
"Cell63","SeuratProject",56168,7971,"Cell63","Batch1","Group3",55862.6542487551,"2","2"
"Cell64","SeuratProject",65405,8518,"Cell64","Batch1","Group2",64571.1538406976,"1","1"
"Cell65","SeuratProject",56127,7949,"Cell65","Batch1","Group1",55719.1491177236,"0","0"
"Cell66","SeuratProject",67375,8669,"Cell66","Batch1","Group1",67082.7719422971,"0","0"
"Cell67","SeuratProject",84003,9481,"Cell67","Batch1","Group1",84669.7304880573,"0","0"
"Cell68","SeuratProject",47621,7424,"Cell68","Batch1","Group1",47241.6843866687,"0","0"
"Cell69","SeuratProject",61880,8407,"Cell69","Batch1","Group4",61779.0731320111,"3","3"
"Cell70","SeuratProject",57853,8150,"Cell70","Batch1","Group1",58428.6508944878,"0","0"
"Cell71","SeuratProject",55575,7925,"Cell71","Batch1","Group3",54833.5140468535,"2","2"
"Cell72","SeuratProject",63350,8414,"Cell72","Batch1","Group2",62235.8026810592,"1","1"
"Cell73","SeuratProject",50084,7561,"Cell73","Batch1","Group3",50116.2165034706,"2","2"
"Cell74","SeuratProject",84428,9487,"Cell74","Batch1","Group3",84468.6994979064,"2","2"
"Cell75","SeuratProject",55467,7948,"Cell75","Batch1","Group1",54943.3033915369,"0","0"
"Cell76","SeuratProject",51650,7625,"Cell76","Batch1","Group2",52176.865294012,"1","1"
"Cell77","SeuratProject",68823,8735,"Cell77","Batch1","Group2",68289.5115234116,"1","1"
"Cell78","SeuratProject",51721,7640,"Cell78","Batch1","Group4",51486.5571790514,"3","3"
"Cell79","SeuratProject",52544,7624,"Cell79","Batch1","Group3",52733.8060873491,"2","2"
"Cell80","SeuratProject",70924,8903,"Cell80","Batch1","Group3",70647.8800483667,"2","2"
"Cell81","SeuratProject",62933,8374,"Cell81","Batch1","Group2",62577.2036895261,"1","1"
"Cell82","SeuratProject",60474,8215,"Cell82","Batch1","Group3",60267.9606352075,"2","2"
"Cell83","SeuratProject",74745,9079,"Cell83","Batch1","Group1",74570.2863883654,"0","0"
"Cell84","SeuratProject",55525,7905,"Cell84","Batch1","Group3",56220.5228524621,"2","2"
"Cell85","SeuratProject",57767,8044,"Cell85","Batch1","Group2",57934.5963332219,"1","1"
"Cell86","SeuratProject",51704,7658,"Cell86","Batch1","Group1",51746.1909888854,"0","0"
"Cell87","SeuratProject",62605,8334,"Cell87","Batch1","Group1",62216.5916059409,"0","0"
"Cell88","SeuratProject",46550,7236,"Cell88","Batch1","Group1",46852.0394993909,"3","3"
"Cell89","SeuratProject",59455,8206,"Cell89","Batch1","Group3",59320.6924980265,"2","2"
"Cell90","SeuratProject",68491,8777,"Cell90","Batch1","Group1",69285.4855615673,"0","0"
"Cell91","SeuratProject",54444,7851,"Cell91","Batch1","Group1",54572.7065670042,"0","0"
"Cell92","SeuratProject",105472,10425,"Cell92","Batch1","Group3",106056.948359964,"2","2"
"Cell93","SeuratProject",52366,7765,"Cell93","Batch1","Group1",52602.5751440185,"0","0"
"Cell94","SeuratProject",46823,7235,"Cell94","Batch1","Group2",46552.4242718002,"1","1"
"Cell95","SeuratProject",43938,7083,"Cell95","Batch1","Group2",44136.9438689075,"1","1"
"Cell96","SeuratProject",70364,8791,"Cell96","Batch1","Group1",70463.3888378106,"0","0"
"Cell97","SeuratProject",54530,7760,"Cell97","Batch1","Group2",54174.7835595851,"1","1"
"Cell98","SeuratProject",60099,8182,"Cell98","Batch1","Group2",60285.7580907849,"1","1"
"Cell99","SeuratProject",40792,6694,"Cell99","Batch1","Group1",40943.976600085,"0","0"
"Cell100","SeuratProject",59047,8149,"Cell100","Batch1","Group1",58745.8697960119,"0","0"
"Cell101","SeuratProject",80438,9363,"Cell101","Batch1","Group3",80087.8451969619,"2","2"
"Cell102","SeuratProject",60812,8328,"Cell102","Batch1","Group1",61343.0722648986,"0","0"
"Cell103","SeuratProject",56942,8016,"Cell103","Batch1","Group1",57768.0712480024,"0","0"
"Cell104","SeuratProject",49674,7434,"Cell104","Batch1","Group2",49318.7355331056,"1","1"
"Cell105","SeuratProject",61487,8377,"Cell105","Batch1","Group3",61804.5319747738,"2","2"
"Cell106","SeuratProject",63578,8454,"Cell106","Batch1","Group3",63392.4654760826,"2","2"
"Cell107","SeuratProject",81796,9357,"Cell107","Batch1","Group2",80947.6088525183,"1","1"
"Cell108","SeuratProject",72785,9017,"Cell108","Batch1","Group3",72664.7875080981,"2","2"
"Cell109","SeuratProject",77555,9201,"Cell109","Batch1","Group3",77005.1836132669,"2","2"
"Cell110","SeuratProject",53851,7716,"Cell110","Batch1","Group3",54270.2560096153,"2","2"
"Cell111","SeuratProject",65588,8518,"Cell111","Batch1","Group3",66030.8793599963,"2","2"
"Cell112","SeuratProject",43289,6917,"Cell112","Batch1","Group3",43178.7540790083,"2","2"
"Cell113","SeuratProject",50795,7515,"Cell113","Batch1","Group1",50997.6490850762,"0","0"
"Cell114","SeuratProject",70813,8849,"Cell114","Batch1","Group1",70703.1417967428,"0","0"
"Cell115","SeuratProject",64859,8557,"Cell115","Batch1","Group1",64238.052583991,"0","0"
"Cell116","SeuratProject",55815,7907,"Cell116","Batch1","Group2",55523.3362852181,"1","1"
"Cell117","SeuratProject",43811,7164,"Cell117","Batch1","Group1",43912.8719923687,"0","0"
"Cell118","SeuratProject",54183,7781,"Cell118","Batch1","Group4",53694.9539632046,"3","3"
"Cell119","SeuratProject",61168,8375,"Cell119","Batch1","Group3",61077.8163072526,"2","2"
"Cell120","SeuratProject",55459,7916,"Cell120","Batch1","Group4",55393.2521061878,"3","3"
"Cell121","SeuratProject",44655,7160,"Cell121","Batch1","Group3",44116.2557485639,"2","2"
"Cell122","SeuratProject",45685,7172,"Cell122","Batch1","Group1",45760.7844158204,"0","0"
"Cell123","SeuratProject",66817,8614,"Cell123","Batch1","Group2",67520.0191132146,"1","1"
"Cell124","SeuratProject",74332,9065,"Cell124","Batch1","Group1",74834.6524044085,"2","2"
"Cell125","SeuratProject",72624,9020,"Cell125","Batch1","Group1",72545.9607681753,"0","0"
"Cell126","SeuratProject",54501,7833,"Cell126","Batch1","Group1",55152.4036383291,"0","0"
"Cell127","SeuratProject",48871,7460,"Cell127","Batch1","Group1",48608.5811979419,"0","0"
"Cell128","SeuratProject",64410,8509,"Cell128","Batch1","Group1",64601.4903550921,"0","0"
"Cell129","SeuratProject",49435,7496,"Cell129","Batch1","Group1",49213.7837997535,"0","0"
"Cell130","SeuratProject",59002,8125,"Cell130","Batch1","Group4",59254.1295901145,"3","3"
"Cell131","SeuratProject",63238,8406,"Cell131","Batch1","Group1",62247.9948212452,"0","0"
"Cell132","SeuratProject",102146,10306,"Cell132","Batch1","Group3",102177.612135887,"2","2"
"Cell133","SeuratProject",41872,6926,"Cell133","Batch1","Group1",41811.5428405268,"0","0"
"Cell134","SeuratProject",70376,8772,"Cell134","Batch1","Group3",69672.8499379639,"2","2"
"Cell135","SeuratProject",49761,7521,"Cell135","Batch1","Group4",50284.1848727905,"3","3"
"Cell136","SeuratProject",61128,8312,"Cell136","Batch1","Group3",60403.8876003262,"2","2"
"Cell137","SeuratProject",53233,7684,"Cell137","Batch1","Group3",52625.8943404511,"2","2"
"Cell138","SeuratProject",55513,7865,"Cell138","Batch1","Group2",54960.4195931505,"1","1"
"Cell139","SeuratProject",62486,8334,"Cell139","Batch1","Group1",62015.0372883977,"0","0"
"Cell140","SeuratProject",68962,8673,"Cell140","Batch1","Group1",68406.1925528403,"0","0"
"Cell141","SeuratProject",70125,8805,"Cell141","Batch1","Group1",70629.0699548763,"0","0"
"Cell142","SeuratProject",71007,8795,"Cell142","Batch1","Group1",71604.2546631844,"0","0"
"Cell143","SeuratProject",83876,9569,"Cell143","Batch1","Group3",83831.2699594938,"2","2"
"Cell144","SeuratProject",71806,8862,"Cell144","Batch1","Group4",71623.9893709928,"3","3"
"Cell145","SeuratProject",47611,7235,"Cell145","Batch1","Group3",47225.897242882,"2","2"
"Cell146","SeuratProject",48925,7455,"Cell146","Batch1","Group1",48321.9660219954,"0","0"
"Cell147","SeuratProject",75617,9155,"Cell147","Batch1","Group1",75692.2243096856,"0","0"
"Cell148","SeuratProject",67250,8670,"Cell148","Batch1","Group4",67367.3392951832,"3","3"
"Cell149","SeuratProject",62524,8309,"Cell149","Batch1","Group2",62711.4743571154,"1","1"
"Cell150","SeuratProject",66649,8653,"Cell150","Batch1","Group4",67173.5398069848,"3","3"
"Cell151","SeuratProject",66885,8616,"Cell151","Batch1","Group3",66663.9621265323,"2","2"
"Cell152","SeuratProject",65126,8564,"Cell152","Batch1","Group3",65082.2374847434,"2","2"
"Cell153","SeuratProject",58496,8115,"Cell153","Batch1","Group1",59443.4414474716,"0","0"
"Cell154","SeuratProject",66219,8616,"Cell154","Batch1","Group2",66223.0928151237,"1","1"
"Cell155","SeuratProject",53374,7832,"Cell155","Batch1","Group3",53447.5586424008,"2","2"
"Cell156","SeuratProject",59566,8311,"Cell156","Batch1","Group2",60094.3061572815,"1","1"
"Cell157","SeuratProject",47416,7428,"Cell157","Batch1","Group4",47690.8602817869,"3","3"
"Cell158","SeuratProject",65722,8499,"Cell158","Batch1","Group1",65637.8234932901,"0","0"
"Cell159","SeuratProject",66929,8565,"Cell159","Batch1","Group1",65931.7425903412,"0","0"
"Cell160","SeuratProject",53770,7835,"Cell160","Batch1","Group1",54549.9853442853,"0","0"
"Cell161","SeuratProject",73143,8909,"Cell161","Batch1","Group2",73068.3187184869,"1","1"
"Cell162","SeuratProject",56344,7946,"Cell162","Batch1","Group3",55779.5772147434,"2","2"
"Cell163","SeuratProject",69239,8760,"Cell163","Batch1","Group1",68593.7693732138,"0","0"
"Cell164","SeuratProject",72285,8874,"Cell164","Batch1","Group3",72798.3011749482,"2","2"
"Cell165","SeuratProject",51170,7598,"Cell165","Batch1","Group1",51117.8224593251,"0","0"
"Cell166","SeuratProject",60725,8250,"Cell166","Batch1","Group1",61131.2729449782,"0","0"
"Cell167","SeuratProject",66217,8640,"Cell167","Batch1","Group4",65902.2972654956,"3","3"
"Cell168","SeuratProject",52591,7733,"Cell168","Batch1","Group1",52593.4267102969,"0","0"
"Cell169","SeuratProject",89383,9721,"Cell169","Batch1","Group1",88391.6264854653,"0","0"
"Cell170","SeuratProject",50014,7503,"Cell170","Batch1","Group2",50172.3110430823,"1","1"
"Cell171","SeuratProject",43863,6992,"Cell171","Batch1","Group4",43778.4515138633,"3","3"
"Cell172","SeuratProject",62299,8363,"Cell172","Batch1","Group1",62068.587442404,"0","0"
"Cell173","SeuratProject",42739,6996,"Cell173","Batch1","Group2",42587.6858872597,"1","1"
"Cell174","SeuratProject",56393,7935,"Cell174","Batch1","Group4",56383.8332399496,"3","3"
"Cell175","SeuratProject",49540,7432,"Cell175","Batch1","Group1",49599.23406809,"0","0"
"Cell176","SeuratProject",46506,7212,"Cell176","Batch1","Group4",47050.3271743625,"3","3"
"Cell177","SeuratProject",75494,9094,"Cell177","Batch1","Group3",74949.3173501392,"2","2"
"Cell178","SeuratProject",51818,7655,"Cell178","Batch1","Group3",51692.7910683216,"2","2"
"Cell179","SeuratProject",64505,8489,"Cell179","Batch1","Group1",64361.1467249117,"0","0"
"Cell180","SeuratProject",63919,8491,"Cell180","Batch1","Group3",64313.2022629813,"2","2"
"Cell181","SeuratProject",65534,8527,"Cell181","Batch1","Group3",65123.7540394534,"2","2"
"Cell182","SeuratProject",50754,7572,"Cell182","Batch1","Group1",50400.5296657847,"0","0"
"Cell183","SeuratProject",55281,7946,"Cell183","Batch1","Group4",54865.1572709587,"3","3"
"Cell184","SeuratProject",59140,8172,"Cell184","Batch1","Group1",59084.7096057615,"0","0"
"Cell185","SeuratProject",71265,8885,"Cell185","Batch1","Group1",70607.8982003839,"0","0"
"Cell186","SeuratProject",62385,8327,"Cell186","Batch1","Group3",62388.1227614649,"2","2"
"Cell187","SeuratProject",58935,8075,"Cell187","Batch1","Group1",58195.2914256344,"0","0"
"Cell188","SeuratProject",55027,7915,"Cell188","Batch1","Group1",55492.6967789126,"0","0"
"Cell189","SeuratProject",63958,8433,"Cell189","Batch1","Group1",64095.1233694658,"0","0"
"Cell190","SeuratProject",36422,6396,"Cell190","Batch1","Group1",36578.1210002723,"0","0"
"Cell191","SeuratProject",58476,8160,"Cell191","Batch1","Group3",58573.4575536507,"2","2"
"Cell192","SeuratProject",51039,7546,"Cell192","Batch1","Group4",50819.7216291207,"1","1"
"Cell193","SeuratProject",65392,8603,"Cell193","Batch1","Group2",65683.4318596472,"1","1"
"Cell194","SeuratProject",62252,8274,"Cell194","Batch1","Group3",62043.4142119628,"2","2"
"Cell195","SeuratProject",41799,6843,"Cell195","Batch1","Group2",41870.3922435588,"1","1"
"Cell196","SeuratProject",52222,7705,"Cell196","Batch1","Group3",52356.6555365779,"2","2"
"Cell197","SeuratProject",85419,9569,"Cell197","Batch1","Group1",86108.6567753172,"0","0"
"Cell198","SeuratProject",57685,8022,"Cell198","Batch1","Group2",57063.4210588159,"1","1"
"Cell199","SeuratProject",58927,8225,"Cell199","Batch1","Group2",60130.7660079159,"1","1"
"Cell200","SeuratProject",49667,7458,"Cell200","Batch1","Group3",49759.255932394,"2","2"
"Cell201","SeuratProject",69131,8863,"Cell201","Batch1","Group2",69652.9116906125,"1","1"
"Cell202","SeuratProject",64028,8488,"Cell202","Batch1","Group1",63237.1316612034,"0","0"
"Cell203","SeuratProject",54257,7856,"Cell203","Batch1","Group1",53851.2876892023,"0","0"
"Cell204","SeuratProject",79894,9307,"Cell204","Batch1","Group3",80093.6342708682,"2","2"
"Cell205","SeuratProject",57303,8035,"Cell205","Batch1","Group1",57335.7489620507,"0","0"
"Cell206","SeuratProject",37531,6441,"Cell206","Batch1","Group1",37145.6670744414,"0","0"
"Cell207","SeuratProject",63245,8375,"Cell207","Batch1","Group1",63524.4100199638,"0","0"
"Cell208","SeuratProject",48258,7269,"Cell208","Batch1","Group1",47903.7662204425,"0","0"
"Cell209","SeuratProject",47464,7319,"Cell209","Batch1","Group2",47141.4115885946,"1","1"
"Cell210","SeuratProject",70797,8886,"Cell210","Batch1","Group1",70314.6736374113,"0","0"
"Cell211","SeuratProject",63296,8413,"Cell211","Batch1","Group1",63138.4371239135,"0","0"
"Cell212","SeuratProject",52520,7662,"Cell212","Batch1","Group1",52060.3417428328,"0","0"
"Cell213","SeuratProject",87966,9711,"Cell213","Batch1","Group3",86735.8067611988,"2","2"
"Cell214","SeuratProject",91942,9740,"Cell214","Batch1","Group1",92386.9656335563,"0","0"
"Cell215","SeuratProject",62702,8258,"Cell215","Batch1","Group1",62364.9101617711,"0","0"
"Cell216","SeuratProject",69847,8784,"Cell216","Batch1","Group2",70600.2137610923,"1","1"
"Cell217","SeuratProject",53121,7809,"Cell217","Batch1","Group2",53510.3954357315,"1","1"
"Cell218","SeuratProject",60361,8301,"Cell218","Batch1","Group1",60801.8826746532,"0","0"
"Cell219","SeuratProject",71454,8875,"Cell219","Batch1","Group3",71584.4443349866,"2","2"
"Cell220","SeuratProject",51732,7600,"Cell220","Batch1","Group2",51219.2874916607,"3","3"
"Cell221","SeuratProject",62187,8377,"Cell221","Batch1","Group2",62385.906792653,"1","1"
"Cell222","SeuratProject",76963,9219,"Cell222","Batch1","Group1",78277.4331112973,"0","0"
"Cell223","SeuratProject",57015,8034,"Cell223","Batch1","Group1",56714.5820681047,"0","0"
"Cell224","SeuratProject",57838,7936,"Cell224","Batch1","Group2",57293.5986227697,"1","1"
"Cell225","SeuratProject",86188,9562,"Cell225","Batch1","Group3",85573.9278142602,"2","2"
"Cell226","SeuratProject",84057,9533,"Cell226","Batch1","Group1",83851.5178490111,"0","0"
"Cell227","SeuratProject",48421,7442,"Cell227","Batch1","Group1",49176.1988665963,"0","0"
"Cell228","SeuratProject",66741,8649,"Cell228","Batch1","Group1",67131.3664840143,"0","0"
"Cell229","SeuratProject",45509,7178,"Cell229","Batch1","Group4",45612.5555212582,"3","3"
"Cell230","SeuratProject",77502,9212,"Cell230","Batch1","Group3",77067.0855230522,"2","2"
"Cell231","SeuratProject",62884,8385,"Cell231","Batch1","Group4",63003.2633000914,"0","0"
"Cell232","SeuratProject",50385,7563,"Cell232","Batch1","Group2",50923.7636359798,"1","1"
"Cell233","SeuratProject",57324,8013,"Cell233","Batch1","Group2",56496.9973466138,"1","1"
"Cell234","SeuratProject",61524,8302,"Cell234","Batch1","Group1",61835.2157857347,"0","0"
"Cell235","SeuratProject",34240,6231,"Cell235","Batch1","Group4",34258.1069476597,"1","1"
"Cell236","SeuratProject",68039,8749,"Cell236","Batch1","Group1",68456.1770032239,"0","0"
"Cell237","SeuratProject",70407,8821,"Cell237","Batch1","Group1",70534.3397085011,"0","0"
"Cell238","SeuratProject",65122,8529,"Cell238","Batch1","Group4",65490.9848656178,"3","3"
"Cell239","SeuratProject",71054,8916,"Cell239","Batch1","Group1",71281.503447391,"0","0"
"Cell240","SeuratProject",87914,9661,"Cell240","Batch1","Group4",87849.218519611,"3","3"
"Cell241","SeuratProject",70046,8802,"Cell241","Batch1","Group1",69882.4001196799,"0","0"
"Cell242","SeuratProject",60818,8185,"Cell242","Batch1","Group3",60799.954118963,"2","2"
"Cell243","SeuratProject",62137,8300,"Cell243","Batch1","Group1",62016.3761610271,"0","0"
"Cell244","SeuratProject",56796,7974,"Cell244","Batch1","Group1",56367.8921905633,"0","0"
"Cell245","SeuratProject",47636,7337,"Cell245","Batch1","Group1",47251.8319586461,"0","0"
"Cell246","SeuratProject",51801,7646,"Cell246","Batch1","Group1",51652.506606941,"0","0"
"Cell247","SeuratProject",61244,8301,"Cell247","Batch1","Group4",61097.342012227,"3","3"
"Cell248","SeuratProject",41839,6799,"Cell248","Batch1","Group2",41577.5300249666,"1","1"
"Cell249","SeuratProject",79226,9327,"Cell249","Batch1","Group3",79738.933375296,"2","2"
"Cell250","SeuratProject",63451,8380,"Cell250","Batch1","Group3",62925.1468238804,"2","2"
"Cell251","SeuratProject",62062,8377,"Cell251","Batch1","Group2",62950.2428490036,"1","1"
"Cell252","SeuratProject",60748,8197,"Cell252","Batch1","Group4",60443.4348710729,"3","3"
"Cell253","SeuratProject",43866,7030,"Cell253","Batch1","Group1",43627.7303698904,"0","0"
"Cell254","SeuratProject",54408,7864,"Cell254","Batch1","Group3",54806.7160893808,"2","2"
"Cell255","SeuratProject",75692,9129,"Cell255","Batch1","Group2",75012.1438940647,"1","1"
"Cell256","SeuratProject",52430,7697,"Cell256","Batch1","Group4",53274.7844825284,"3","3"
"Cell257","SeuratProject",72266,8956,"Cell257","Batch1","Group1",73002.956587218,"0","0"
"Cell258","SeuratProject",72301,9005,"Cell258","Batch1","Group2",72341.9576730382,"1","1"
"Cell259","SeuratProject",69562,8787,"Cell259","Batch1","Group3",69924.0404951207,"2","2"
"Cell260","SeuratProject",75452,8979,"Cell260","Batch1","Group4",75196.5123159865,"3","3"
"Cell261","SeuratProject",62787,8335,"Cell261","Batch1","Group4",61944.022089948,"3","3"
"Cell262","SeuratProject",43090,7029,"Cell262","Batch1","Group2",43131.0964220484,"0","0"
"Cell263","SeuratProject",62734,8348,"Cell263","Batch1","Group2",62735.8757979606,"1","1"
"Cell264","SeuratProject",42757,6837,"Cell264","Batch1","Group2",42597.9743703279,"1","1"
"Cell265","SeuratProject",60107,8300,"Cell265","Batch1","Group1",60741.6856880533,"0","0"
"Cell266","SeuratProject",68683,8768,"Cell266","Batch1","Group3",68549.5437487646,"2","2"
"Cell267","SeuratProject",58344,8172,"Cell267","Batch1","Group1",58063.8202883122,"0","0"
"Cell268","SeuratProject",55954,7923,"Cell268","Batch1","Group2",56238.6446909148,"1","1"
"Cell269","SeuratProject",55427,7879,"Cell269","Batch1","Group1",55386.6606522996,"0","0"
"Cell270","SeuratProject",81035,9193,"Cell270","Batch1","Group3",80427.3016353365,"2","2"
"Cell271","SeuratProject",54391,7890,"Cell271","Batch1","Group3",54510.6433888355,"2","2"
"Cell272","SeuratProject",112133,10668,"Cell272","Batch1","Group2",112713.035470181,"1","1"
"Cell273","SeuratProject",77857,9223,"Cell273","Batch1","Group3",77310.5515023006,"2","2"
"Cell274","SeuratProject",57537,7978,"Cell274","Batch1","Group4",57933.5999614283,"3","3"
"Cell275","SeuratProject",76610,9089,"Cell275","Batch1","Group3",75588.3855921089,"2","2"
"Cell276","SeuratProject",50751,7569,"Cell276","Batch1","Group1",51343.4691578459,"0","0"
"Cell277","SeuratProject",59516,8171,"Cell277","Batch1","Group4",59197.6171680935,"3","3"
"Cell278","SeuratProject",57162,8034,"Cell278","Batch1","Group2",57503.6335184571,"1","1"
"Cell279","SeuratProject",45645,7048,"Cell279","Batch1","Group1",45043.3744745196,"0","0"
"Cell280","SeuratProject",61221,8251,"Cell280","Batch1","Group2",61185.387621311,"1","1"
"Cell281","SeuratProject",42067,6987,"Cell281","Batch1","Group4",42404.9152936015,"3","3"
"Cell282","SeuratProject",53752,7842,"Cell282","Batch1","Group1",53511.0562776992,"0","0"
"Cell283","SeuratProject",58031,8121,"Cell283","Batch1","Group4",58550.4683250055,"3","3"
"Cell284","SeuratProject",60232,8203,"Cell284","Batch1","Group2",59923.9324624228,"1","1"
"Cell285","SeuratProject",74665,9040,"Cell285","Batch1","Group3",74334.0972733336,"2","2"
"Cell286","SeuratProject",65397,8544,"Cell286","Batch1","Group1",65580.3673079862,"0","0"
"Cell287","SeuratProject",54213,7831,"Cell287","Batch1","Group1",54275.0297226711,"0","0"
"Cell288","SeuratProject",50298,7503,"Cell288","Batch1","Group2",50122.9881940011,"1","1"
"Cell289","SeuratProject",64836,8533,"Cell289","Batch1","Group2",64504.6674477321,"1","1"
