"","orig.ident","nCount_RNA","nFeature_RNA","Cell","Batch","Group","ExpLibSize","RNA_snn_res.0.8","seurat_clusters"
"Cell154","SeuratProject",66219,8616,"Cell154","Batch1","Group2",66223.0928151237,"3","3"
"Cell155","SeuratProject",53374,7832,"Cell155","Batch1","Group3",53447.5586424008,"4","4"
"Cell156","SeuratProject",59566,8311,"Cell156","Batch1","Group2",60094.3061572815,"3","3"
"Cell157","SeuratProject",47416,7428,"Cell157","Batch1","Group4",47690.8602817869,"6","6"
"Cell158","SeuratProject",65722,8499,"Cell158","Batch1","Group1",65637.8234932901,"1","1"
"Cell159","SeuratProject",66929,8565,"Cell159","Batch1","Group1",65931.7425903412,"1","1"
"Cell160","SeuratProject",53770,7835,"Cell160","Batch1","Group1",54549.9853442853,"1","1"
"Cell161","SeuratProject",73143,8909,"Cell161","Batch1","Group2",73068.3187184869,"3","3"
"Cell162","SeuratProject",56344,7946,"Cell162","Batch1","Group3",55779.5772147434,"4","4"
"Cell163","SeuratProject",69239,8760,"Cell163","Batch1","Group1",68593.7693732138,"1","1"
"Cell164","SeuratProject",72285,8874,"Cell164","Batch1","Group3",72798.3011749482,"4","4"
"Cell165","SeuratProject",51170,7598,"Cell165","Batch1","Group1",51117.8224593251,"1","1"
"Cell166","SeuratProject",60725,8250,"Cell166","Batch1","Group1",61131.2729449782,"1","1"
"Cell167","SeuratProject",66217,8640,"Cell167","Batch1","Group4",65902.2972654956,"6","6"
"Cell168","SeuratProject",52591,7733,"Cell168","Batch1","Group1",52593.4267102969,"1","1"
"Cell169","SeuratProject",89383,9721,"Cell169","Batch1","Group1",88391.6264854653,"1","1"
"Cell170","SeuratProject",50014,7503,"Cell170","Batch1","Group2",50172.3110430823,"3","3"
"Cell171","SeuratProject",43863,6992,"Cell171","Batch1","Group4",43778.4515138633,"6","6"
"Cell172","SeuratProject",62299,8363,"Cell172","Batch1","Group1",62068.587442404,"1","1"
"Cell173","SeuratProject",42739,6996,"Cell173","Batch1","Group2",42587.6858872597,"3","3"
"Cell174","SeuratProject",56393,7935,"Cell174","Batch1","Group4",56383.8332399496,"6","6"
"Cell175","SeuratProject",49540,7432,"Cell175","Batch1","Group1",49599.23406809,"1","1"
"Cell176","SeuratProject",46506,7212,"Cell176","Batch1","Group4",47050.3271743625,"6","6"
"Cell177","SeuratProject",75494,9094,"Cell177","Batch1","Group3",74949.3173501392,"4","4"
"Cell178","SeuratProject",51818,7655,"Cell178","Batch1","Group3",51692.7910683216,"4","4"
"Cell179","SeuratProject",64505,8489,"Cell179","Batch1","Group1",64361.1467249117,"1","1"
"Cell180","SeuratProject",63919,8491,"Cell180","Batch1","Group3",64313.2022629813,"4","4"
"Cell181","SeuratProject",65534,8527,"Cell181","Batch1","Group3",65123.7540394534,"4","4"
"Cell182","SeuratProject",50754,7572,"Cell182","Batch1","Group1",50400.5296657847,"1","1"
"Cell183","SeuratProject",55281,7946,"Cell183","Batch1","Group4",54865.1572709587,"6","6"
"Cell184","SeuratProject",59140,8172,"Cell184","Batch1","Group1",59084.7096057615,"1","1"
"Cell185","SeuratProject",71265,8885,"Cell185","Batch1","Group1",70607.8982003839,"1","1"
"Cell186","SeuratProject",62385,8327,"Cell186","Batch1","Group3",62388.1227614649,"4","4"
"Cell187","SeuratProject",58935,8075,"Cell187","Batch1","Group1",58195.2914256344,"1","1"
"Cell188","SeuratProject",55027,7915,"Cell188","Batch1","Group1",55492.6967789126,"1","1"
"Cell189","SeuratProject",63958,8433,"Cell189","Batch1","Group1",64095.1233694658,"1","1"
"Cell190","SeuratProject",36422,6396,"Cell190","Batch1","Group1",36578.1210002723,"1","1"
"Cell191","SeuratProject",58476,8160,"Cell191","Batch1","Group3",58573.4575536507,"4","4"
"Cell192","SeuratProject",51039,7546,"Cell192","Batch1","Group4",50819.7216291207,"6","6"
"Cell193","SeuratProject",65392,8603,"Cell193","Batch1","Group2",65683.4318596472,"3","3"
"Cell194","SeuratProject",62252,8274,"Cell194","Batch1","Group3",62043.4142119628,"4","4"
"Cell195","SeuratProject",41799,6843,"Cell195","Batch1","Group2",41870.3922435588,"3","3"
"Cell196","SeuratProject",52222,7705,"Cell196","Batch1","Group3",52356.6555365779,"4","4"
"Cell197","SeuratProject",85419,9569,"Cell197","Batch1","Group1",86108.6567753172,"1","1"
"Cell198","SeuratProject",57685,8022,"Cell198","Batch1","Group2",57063.4210588159,"3","3"
"Cell199","SeuratProject",58927,8225,"Cell199","Batch1","Group2",60130.7660079159,"3","3"
"Cell200","SeuratProject",49667,7458,"Cell200","Batch1","Group3",49759.255932394,"4","4"
"Cell201","SeuratProject",69131,8863,"Cell201","Batch1","Group2",69652.9116906125,"3","3"
"Cell202","SeuratProject",64028,8488,"Cell202","Batch1","Group1",63237.1316612034,"1","1"
"Cell203","SeuratProject",54257,7856,"Cell203","Batch1","Group1",53851.2876892023,"1","1"
"Cell204","SeuratProject",79894,9307,"Cell204","Batch1","Group3",80093.6342708682,"4","4"
"Cell205","SeuratProject",57303,8035,"Cell205","Batch1","Group1",57335.7489620507,"1","1"
"Cell206","SeuratProject",37531,6441,"Cell206","Batch1","Group1",37145.6670744414,"1","1"
"Cell207","SeuratProject",63245,8375,"Cell207","Batch1","Group1",63524.4100199638,"1","1"
"Cell208","SeuratProject",48258,7269,"Cell208","Batch1","Group1",47903.7662204425,"1","1"
"Cell209","SeuratProject",47464,7319,"Cell209","Batch1","Group2",47141.4115885946,"3","3"
"Cell210","SeuratProject",70797,8886,"Cell210","Batch1","Group1",70314.6736374113,"6","6"
"Cell211","SeuratProject",63296,8413,"Cell211","Batch1","Group1",63138.4371239135,"1","1"
"Cell212","SeuratProject",52520,7662,"Cell212","Batch1","Group1",52060.3417428328,"1","1"
"Cell213","SeuratProject",87966,9711,"Cell213","Batch1","Group3",86735.8067611988,"4","4"
"Cell214","SeuratProject",91942,9740,"Cell214","Batch1","Group1",92386.9656335563,"1","1"
"Cell215","SeuratProject",62702,8258,"Cell215","Batch1","Group1",62364.9101617711,"1","1"
"Cell216","SeuratProject",69847,8784,"Cell216","Batch1","Group2",70600.2137610923,"3","3"
"Cell217","SeuratProject",53121,7809,"Cell217","Batch1","Group2",53510.3954357315,"3","3"
"Cell218","SeuratProject",60361,8301,"Cell218","Batch1","Group1",60801.8826746532,"1","1"
"Cell219","SeuratProject",71454,8875,"Cell219","Batch1","Group3",71584.4443349866,"4","4"
"Cell220","SeuratProject",51732,7600,"Cell220","Batch1","Group2",51219.2874916607,"3","3"
"Cell221","SeuratProject",62187,8377,"Cell221","Batch1","Group2",62385.906792653,"3","3"
"Cell222","SeuratProject",76963,9219,"Cell222","Batch1","Group1",78277.4331112973,"1","1"
"Cell223","SeuratProject",57015,8034,"Cell223","Batch1","Group1",56714.5820681047,"1","1"
"Cell224","SeuratProject",57838,7936,"Cell224","Batch1","Group2",57293.5986227697,"3","3"
"Cell225","SeuratProject",86188,9562,"Cell225","Batch1","Group3",85573.9278142602,"4","4"
"Cell226","SeuratProject",84057,9533,"Cell226","Batch1","Group1",83851.5178490111,"1","1"
"Cell227","SeuratProject",48421,7442,"Cell227","Batch1","Group1",49176.1988665963,"1","1"
"Cell228","SeuratProject",66741,8649,"Cell228","Batch1","Group1",67131.3664840143,"1","1"
"Cell229","SeuratProject",45509,7178,"Cell229","Batch1","Group4",45612.5555212582,"6","6"
"Cell230","SeuratProject",77502,9212,"Cell230","Batch1","Group3",77067.0855230522,"4","4"
"Cell231","SeuratProject",62884,8385,"Cell231","Batch1","Group4",63003.2633000914,"6","6"
"Cell232","SeuratProject",50385,7563,"Cell232","Batch1","Group2",50923.7636359798,"3","3"
"Cell233","SeuratProject",57324,8013,"Cell233","Batch1","Group2",56496.9973466138,"3","3"
"Cell234","SeuratProject",61524,8302,"Cell234","Batch1","Group1",61835.2157857347,"1","1"
"Cell235","SeuratProject",34240,6231,"Cell235","Batch1","Group4",34258.1069476597,"3","3"
"Cell236","SeuratProject",68039,8749,"Cell236","Batch1","Group1",68456.1770032239,"1","1"
"Cell237","SeuratProject",70407,8821,"Cell237","Batch1","Group1",70534.3397085011,"1","1"
"Cell238","SeuratProject",65122,8529,"Cell238","Batch1","Group4",65490.9848656178,"6","6"
"Cell239","SeuratProject",71054,8916,"Cell239","Batch1","Group1",71281.503447391,"1","1"
"Cell240","SeuratProject",87914,9661,"Cell240","Batch1","Group4",87849.218519611,"6","6"
"Cell241","SeuratProject",70046,8802,"Cell241","Batch1","Group1",69882.4001196799,"1","1"
"Cell242","SeuratProject",60818,8185,"Cell242","Batch1","Group3",60799.954118963,"4","4"
"Cell243","SeuratProject",62137,8300,"Cell243","Batch1","Group1",62016.3761610271,"1","1"
"Cell244","SeuratProject",56796,7974,"Cell244","Batch1","Group1",56367.8921905633,"1","1"
"Cell245","SeuratProject",47636,7337,"Cell245","Batch1","Group1",47251.8319586461,"1","1"
"Cell246","SeuratProject",51801,7646,"Cell246","Batch1","Group1",51652.506606941,"1","1"
"Cell247","SeuratProject",61244,8301,"Cell247","Batch1","Group4",61097.342012227,"6","6"
"Cell248","SeuratProject",41839,6799,"Cell248","Batch1","Group2",41577.5300249666,"3","3"
"Cell249","SeuratProject",79226,9327,"Cell249","Batch1","Group3",79738.933375296,"4","4"
"Cell250","SeuratProject",63451,8380,"Cell250","Batch1","Group3",62925.1468238804,"4","4"
"Cell251","SeuratProject",62062,8377,"Cell251","Batch1","Group2",62950.2428490036,"3","3"
"Cell252","SeuratProject",60748,8197,"Cell252","Batch1","Group4",60443.4348710729,"6","6"
"Cell253","SeuratProject",43866,7030,"Cell253","Batch1","Group1",43627.7303698904,"1","1"
"Cell254","SeuratProject",54408,7864,"Cell254","Batch1","Group3",54806.7160893808,"4","4"
"Cell255","SeuratProject",75692,9129,"Cell255","Batch1","Group2",75012.1438940647,"3","3"
"Cell256","SeuratProject",52430,7697,"Cell256","Batch1","Group4",53274.7844825284,"6","6"
"Cell257","SeuratProject",72266,8956,"Cell257","Batch1","Group1",73002.956587218,"1","1"
"Cell258","SeuratProject",72301,9005,"Cell258","Batch1","Group2",72341.9576730382,"3","3"
"Cell259","SeuratProject",69562,8787,"Cell259","Batch1","Group3",69924.0404951207,"4","4"
"Cell260","SeuratProject",75452,8979,"Cell260","Batch1","Group4",75196.5123159865,"6","6"
"Cell261","SeuratProject",62787,8335,"Cell261","Batch1","Group4",61944.022089948,"6","6"
"Cell262","SeuratProject",43090,7029,"Cell262","Batch1","Group2",43131.0964220484,"3","3"
"Cell263","SeuratProject",62734,8348,"Cell263","Batch1","Group2",62735.8757979606,"3","3"
"Cell264","SeuratProject",42757,6837,"Cell264","Batch1","Group2",42597.9743703279,"3","3"
"Cell265","SeuratProject",60107,8300,"Cell265","Batch1","Group1",60741.6856880533,"1","1"
"Cell266","SeuratProject",68683,8768,"Cell266","Batch1","Group3",68549.5437487646,"4","4"
"Cell267","SeuratProject",58344,8172,"Cell267","Batch1","Group1",58063.8202883122,"1","1"
"Cell268","SeuratProject",55954,7923,"Cell268","Batch1","Group2",56238.6446909148,"3","3"
"Cell269","SeuratProject",55427,7879,"Cell269","Batch1","Group1",55386.6606522996,"1","1"
"Cell270","SeuratProject",81035,9193,"Cell270","Batch1","Group3",80427.3016353365,"4","4"
"Cell271","SeuratProject",54391,7890,"Cell271","Batch1","Group3",54510.6433888355,"4","4"
"Cell272","SeuratProject",112133,10668,"Cell272","Batch1","Group2",112713.035470181,"3","3"
"Cell273","SeuratProject",77857,9223,"Cell273","Batch1","Group3",77310.5515023006,"4","4"
"Cell274","SeuratProject",57537,7978,"Cell274","Batch1","Group4",57933.5999614283,"6","6"
"Cell275","SeuratProject",76610,9089,"Cell275","Batch1","Group3",75588.3855921089,"4","4"
"Cell276","SeuratProject",50751,7569,"Cell276","Batch1","Group1",51343.4691578459,"1","1"
"Cell277","SeuratProject",59516,8171,"Cell277","Batch1","Group4",59197.6171680935,"6","6"
"Cell278","SeuratProject",57162,8034,"Cell278","Batch1","Group2",57503.6335184571,"3","3"
"Cell279","SeuratProject",45645,7048,"Cell279","Batch1","Group1",45043.3744745196,"1","1"
"Cell280","SeuratProject",61221,8251,"Cell280","Batch1","Group2",61185.387621311,"3","3"
"Cell281","SeuratProject",42067,6987,"Cell281","Batch1","Group4",42404.9152936015,"6","6"
"Cell282","SeuratProject",53752,7842,"Cell282","Batch1","Group1",53511.0562776992,"1","1"
"Cell283","SeuratProject",58031,8121,"Cell283","Batch1","Group4",58550.4683250055,"6","6"
"Cell284","SeuratProject",60232,8203,"Cell284","Batch1","Group2",59923.9324624228,"3","3"
"Cell285","SeuratProject",74665,9040,"Cell285","Batch1","Group3",74334.0972733336,"4","4"
"Cell286","SeuratProject",65397,8544,"Cell286","Batch1","Group1",65580.3673079862,"1","1"
"Cell287","SeuratProject",54213,7831,"Cell287","Batch1","Group1",54275.0297226711,"1","1"
"Cell288","SeuratProject",50298,7503,"Cell288","Batch1","Group2",50122.9881940011,"3","3"
"Cell289","SeuratProject",64836,8533,"Cell289","Batch1","Group2",64504.6674477321,"3","3"
