"","ref.Group"
"Cell145","Group3"
"Cell146","Group1"
"Cell147","Group1"
"Cell148","Group4"
"Cell149","Group2"
"Cell150","Group4"
"Cell151","Group3"
"Cell152","Group3"
"Cell153","Group1"
"Cell154","Group2"
"Cell155","Group3"
"Cell156","Group2"
"Cell157","Group4"
"Cell158","Group1"
"Cell159","Group1"
"Cell160","Group1"
"Cell161","Group2"
"Cell162","Group3"
"Cell163","Group1"
"Cell164","Group3"
"Cell165","Group1"
"Cell166","Group1"
"Cell167","Group4"
"Cell168","Group1"
"Cell169","Group1"
"Cell170","Group2"
"Cell171","Group4"
"Cell172","Group1"
"Cell173","Group2"
"Cell174","Group4"
"Cell175","Group1"
"Cell176","Group4"
"Cell177","Group3"
"Cell178","Group3"
"Cell179","Group1"
"Cell180","Group3"
"Cell181","Group3"
"Cell182","Group1"
"Cell183","Group4"
"Cell184","Group1"
"Cell185","Group1"
"Cell186","Group3"
"Cell187","Group1"
"Cell188","Group1"
"Cell189","Group1"
"Cell190","Group1"
"Cell191","Group3"
"Cell192","Group4"
"Cell193","Group2"
"Cell194","Group3"
"Cell195","Group2"
"Cell196","Group3"
"Cell197","Group1"
"Cell198","Group2"
"Cell199","Group2"
"Cell200","Group3"
"Cell201","Group2"
"Cell202","Group1"
"Cell203","Group1"
"Cell204","Group3"
"Cell205","Group1"
"Cell206","Group1"
"Cell207","Group1"
"Cell208","Group1"
"Cell209","Group2"
"Cell210","Group1"
"Cell211","Group1"
"Cell212","Group1"
"Cell213","Group3"
"Cell214","Group1"
"Cell215","Group1"
"Cell216","Group2"
"Cell217","Group2"
"Cell218","Group1"
"Cell219","Group3"
"Cell220","Group2"
"Cell221","Group2"
"Cell222","Group1"
"Cell223","Group1"
"Cell224","Group2"
"Cell225","Group3"
"Cell226","Group1"
"Cell227","Group1"
"Cell228","Group1"
"Cell229","Group4"
"Cell230","Group3"
"Cell231","Group4"
"Cell232","Group2"
"Cell233","Group2"
"Cell234","Group1"
"Cell235","Group4"
"Cell236","Group1"
"Cell237","Group1"
"Cell238","Group4"
"Cell239","Group1"
"Cell240","Group4"
"Cell241","Group1"
"Cell242","Group3"
"Cell243","Group1"
"Cell244","Group1"
"Cell245","Group1"
"Cell246","Group1"
"Cell247","Group4"
"Cell248","Group2"
"Cell249","Group3"
"Cell250","Group3"
"Cell251","Group2"
"Cell252","Group4"
"Cell253","Group1"
"Cell254","Group3"
"Cell255","Group2"
"Cell256","Group4"
"Cell257","Group1"
"Cell258","Group2"
"Cell259","Group3"
"Cell260","Group4"
"Cell261","Group4"
"Cell262","Group2"
"Cell263","Group2"
"Cell264","Group2"
"Cell265","Group1"
"Cell266","Group3"
"Cell267","Group1"
"Cell268","Group2"
"Cell269","Group1"
"Cell270","Group3"
"Cell271","Group3"
"Cell272","Group2"
"Cell273","Group3"
"Cell274","Group4"
"Cell275","Group3"
"Cell276","Group1"
"Cell277","Group4"
"Cell278","Group2"
"Cell279","Group1"
"Cell280","Group2"
"Cell281","Group4"
"Cell282","Group1"
"Cell283","Group4"
"Cell284","Group2"
"Cell285","Group3"
"Cell286","Group1"
"Cell287","Group1"
"Cell288","Group2"
"Cell289","Group2"
"Cell290","Group1"
"Cell291","Group1"
"Cell292","Group1"
"Cell293","Group3"
"Cell294","Group1"
"Cell295","Group3"
"Cell296","Group3"
"Cell297","Group1"
"Cell298","Group1"
"Cell299","Group1"
"Cell300","Group4"
"Cell301","Group2"
"Cell302","Group1"
"Cell303","Group1"
"Cell304","Group3"
"Cell305","Group2"
"Cell306","Group1"
"Cell307","Group2"
"Cell308","Group3"
"Cell309","Group1"
"Cell310","Group1"
"Cell311","Group2"
"Cell312","Group3"
"Cell313","Group3"
"Cell314","Group2"
"Cell315","Group1"
"Cell316","Group2"
"Cell317","Group3"
"Cell318","Group4"
"Cell319","Group4"
"Cell320","Group1"
"Cell321","Group2"
"Cell322","Group3"
"Cell323","Group3"
"Cell324","Group1"
"Cell325","Group1"
"Cell326","Group1"
"Cell327","Group1"
"Cell328","Group2"
"Cell329","Group4"
"Cell330","Group1"
"Cell331","Group2"
"Cell332","Group1"
"Cell333","Group1"
"Cell334","Group1"
"Cell335","Group3"
"Cell336","Group1"
"Cell337","Group1"
"Cell338","Group1"
"Cell339","Group3"
"Cell340","Group4"
"Cell341","Group1"
"Cell342","Group1"
"Cell343","Group2"
"Cell344","Group1"
"Cell345","Group1"
"Cell346","Group3"
"Cell347","Group3"
"Cell348","Group1"
"Cell349","Group1"
"Cell350","Group1"
"Cell351","Group3"
"Cell352","Group4"
"Cell353","Group3"
"Cell354","Group2"
"Cell355","Group3"
"Cell356","Group3"
"Cell357","Group1"
"Cell358","Group4"
"Cell359","Group3"
"Cell360","Group1"
"Cell361","Group1"
"Cell362","Group2"
"Cell363","Group1"
"Cell364","Group2"
"Cell365","Group2"
"Cell366","Group1"
"Cell367","Group2"
"Cell368","Group2"
"Cell369","Group4"
"Cell370","Group1"
"Cell371","Group2"
"Cell372","Group4"
"Cell373","Group4"
"Cell374","Group1"
"Cell375","Group3"
"Cell376","Group4"
"Cell377","Group1"
"Cell378","Group1"
"Cell379","Group1"
"Cell380","Group4"
"Cell381","Group2"
"Cell382","Group1"
"Cell383","Group1"
"Cell384","Group1"
"Cell385","Group1"
"Cell386","Group2"
"Cell387","Group1"
"Cell388","Group4"
"Cell389","Group4"
"Cell390","Group1"
"Cell391","Group3"
"Cell392","Group1"
"Cell393","Group3"
"Cell394","Group3"
"Cell395","Group1"
"Cell396","Group2"
"Cell397","Group1"
"Cell398","Group1"
"Cell399","Group2"
"Cell400","Group1"
"Cell401","Group1"
"Cell402","Group3"
"Cell403","Group1"
"Cell404","Group1"
"Cell405","Group4"
"Cell406","Group4"
"Cell407","Group1"
"Cell408","Group1"
"Cell409","Group2"
"Cell410","Group1"
"Cell411","Group3"
"Cell412","Group2"
"Cell413","Group2"
"Cell414","Group2"
"Cell415","Group1"
"Cell416","Group4"
"Cell417","Group3"
"Cell418","Group4"
"Cell419","Group1"
"Cell420","Group2"
"Cell421","Group3"
"Cell422","Group1"
"Cell423","Group3"
"Cell424","Group2"
"Cell425","Group2"
"Cell426","Group2"
"Cell427","Group1"
"Cell428","Group1"
"Cell429","Group3"
"Cell430","Group2"
"Cell431","Group1"
"Cell432","Group1"
"Cell433","Group1"
"Cell434","Group3"
"Cell435","Group2"
"Cell436","Group2"
"Cell437","Group1"
"Cell438","Group4"
"Cell439","Group4"
"Cell440","Group4"
"Cell441","Group1"
"Cell442","Group1"
"Cell443","Group1"
"Cell444","Group4"
"Cell445","Group3"
"Cell446","Group1"
"Cell447","Group1"
"Cell448","Group3"
"Cell449","Group1"
"Cell450","Group3"
"Cell451","Group2"
"Cell452","Group4"
"Cell453","Group2"
"Cell454","Group1"
"Cell455","Group2"
"Cell456","Group3"
"Cell457","Group2"
"Cell458","Group1"
"Cell459","Group4"
"Cell460","Group3"
"Cell461","Group1"
"Cell462","Group1"
"Cell463","Group4"
"Cell464","Group3"
"Cell465","Group1"
"Cell466","Group3"
"Cell467","Group2"
"Cell468","Group1"
"Cell469","Group3"
"Cell470","Group1"
"Cell471","Group1"
"Cell472","Group3"
"Cell473","Group1"
"Cell474","Group3"
"Cell475","Group1"
"Cell476","Group1"
"Cell477","Group1"
"Cell478","Group2"
"Cell479","Group4"
"Cell480","Group3"
"Cell481","Group1"
"Cell482","Group1"
"Cell483","Group2"
"Cell484","Group2"
"Cell485","Group3"
"Cell486","Group2"
"Cell487","Group3"
"Cell488","Group1"
"Cell489","Group1"
"Cell490","Group1"
"Cell491","Group3"
"Cell492","Group2"
"Cell493","Group1"
"Cell494","Group1"
"Cell495","Group2"
"Cell496","Group1"
"Cell497","Group2"
"Cell498","Group2"
"Cell499","Group2"
"Cell500","Group3"
"Cell501","Group3"
"Cell502","Group1"
"Cell503","Group1"
"Cell504","Group2"
"Cell505","Group1"
"Cell506","Group1"
"Cell507","Group2"
"Cell508","Group1"
"Cell509","Group1"
"Cell510","Group3"
"Cell511","Group3"
"Cell512","Group1"
"Cell513","Group3"
"Cell514","Group1"
"Cell515","Group1"
"Cell516","Group1"
"Cell517","Group1"
"Cell518","Group1"
"Cell519","Group2"
"Cell520","Group4"
"Cell521","Group1"
"Cell522","Group1"
"Cell523","Group3"
"Cell524","Group2"
"Cell525","Group1"
"Cell526","Group1"
"Cell527","Group1"
"Cell528","Group1"
"Cell529","Group4"
"Cell530","Group1"
"Cell531","Group3"
"Cell532","Group4"
"Cell533","Group1"
"Cell534","Group3"
"Cell535","Group2"
"Cell536","Group1"
"Cell537","Group1"
"Cell538","Group1"
"Cell539","Group1"
"Cell540","Group2"
"Cell541","Group1"
"Cell542","Group1"
"Cell543","Group3"
"Cell544","Group3"
"Cell545","Group3"
"Cell546","Group3"
"Cell547","Group1"
"Cell548","Group4"
"Cell549","Group3"
"Cell550","Group1"
"Cell551","Group1"
"Cell552","Group2"
"Cell553","Group1"
"Cell554","Group1"
"Cell555","Group1"
"Cell556","Group3"
"Cell557","Group1"
"Cell558","Group3"
"Cell559","Group2"
"Cell560","Group3"
"Cell561","Group1"
"Cell562","Group2"
"Cell563","Group3"
"Cell564","Group2"
"Cell565","Group1"
"Cell566","Group2"
"Cell567","Group1"
"Cell568","Group1"
"Cell569","Group1"
"Cell570","Group2"
"Cell571","Group2"
"Cell572","Group3"
"Cell573","Group1"
"Cell574","Group4"
"Cell575","Group2"
"Cell576","Group1"
"Cell577","Group2"
"Cell578","Group1"
"Cell579","Group3"
"Cell580","Group1"
"Cell581","Group1"
"Cell582","Group2"
"Cell583","Group1"
"Cell584","Group4"
"Cell585","Group3"
"Cell586","Group3"
"Cell587","Group3"
"Cell588","Group1"
"Cell589","Group1"
"Cell590","Group3"
"Cell591","Group1"
"Cell592","Group2"
"Cell593","Group2"
"Cell594","Group2"
"Cell595","Group1"
"Cell596","Group3"
"Cell597","Group2"
"Cell598","Group4"
"Cell599","Group1"
"Cell600","Group4"
"Cell601","Group1"
"Cell602","Group2"
"Cell603","Group1"
"Cell604","Group1"
"Cell605","Group1"
"Cell606","Group2"
"Cell607","Group2"
"Cell608","Group3"
"Cell609","Group1"
"Cell610","Group3"
"Cell611","Group2"
"Cell612","Group3"
"Cell613","Group3"
"Cell614","Group4"
"Cell615","Group2"
"Cell616","Group1"
"Cell617","Group2"
"Cell618","Group1"
"Cell619","Group4"
"Cell620","Group1"
"Cell621","Group1"
"Cell622","Group1"
"Cell623","Group2"
"Cell624","Group1"
"Cell625","Group3"
"Cell626","Group1"
"Cell627","Group1"
"Cell628","Group1"
"Cell629","Group3"
"Cell630","Group1"
"Cell631","Group2"
"Cell632","Group4"
"Cell633","Group1"
"Cell634","Group4"
"Cell635","Group1"
"Cell636","Group1"
"Cell637","Group3"
"Cell638","Group3"
"Cell639","Group3"
"Cell640","Group1"
"Cell641","Group1"
"Cell642","Group1"
"Cell643","Group1"
"Cell644","Group1"
"Cell645","Group1"
"Cell646","Group3"
"Cell647","Group2"
"Cell648","Group4"
"Cell649","Group2"
"Cell650","Group2"
"Cell651","Group3"
"Cell652","Group1"
"Cell653","Group1"
"Cell654","Group1"
"Cell655","Group4"
"Cell656","Group3"
"Cell657","Group2"
"Cell658","Group2"
"Cell659","Group2"
"Cell660","Group3"
"Cell661","Group2"
"Cell662","Group4"
"Cell663","Group2"
"Cell664","Group2"
"Cell665","Group4"
"Cell666","Group1"
"Cell667","Group1"
"Cell668","Group1"
"Cell669","Group4"
"Cell670","Group3"
"Cell671","Group3"
"Cell672","Group1"
"Cell673","Group4"
"Cell674","Group4"
"Cell675","Group2"
"Cell676","Group1"
"Cell677","Group1"
"Cell678","Group1"
"Cell679","Group4"
"Cell680","Group1"
"Cell681","Group3"
"Cell682","Group3"
"Cell683","Group2"
"Cell684","Group1"
"Cell685","Group1"
"Cell686","Group4"
"Cell687","Group1"
"Cell688","Group1"
"Cell689","Group4"
"Cell690","Group1"
"Cell691","Group1"
"Cell692","Group2"
"Cell693","Group4"
"Cell694","Group3"
"Cell695","Group1"
"Cell696","Group4"
"Cell697","Group1"
"Cell698","Group3"
"Cell699","Group1"
"Cell700","Group2"
"Cell701","Group1"
"Cell702","Group1"
"Cell703","Group1"
"Cell704","Group3"
"Cell705","Group1"
"Cell706","Group2"
"Cell707","Group4"
"Cell708","Group2"
"Cell709","Group1"
"Cell710","Group3"
"Cell711","Group3"
"Cell712","Group4"
"Cell713","Group3"
"Cell714","Group2"
"Cell715","Group2"
"Cell716","Group1"
"Cell717","Group1"
"Cell718","Group4"
"Cell719","Group4"
"Cell720","Group3"
"Cell721","Group2"
"Cell722","Group2"
"Cell723","Group2"
"Cell724","Group2"
"Cell725","Group4"
"Cell726","Group1"
"Cell727","Group1"
"Cell728","Group3"
"Cell729","Group2"
"Cell730","Group3"
"Cell731","Group2"
"Cell732","Group4"
"Cell733","Group4"
"Cell734","Group1"
"Cell735","Group1"
"Cell736","Group1"
"Cell737","Group4"
"Cell738","Group3"
"Cell739","Group3"
"Cell740","Group3"
"Cell741","Group1"
"Cell742","Group4"
"Cell743","Group2"
"Cell744","Group4"
"Cell745","Group1"
"Cell746","Group1"
"Cell747","Group1"
"Cell748","Group1"
"Cell749","Group2"
"Cell750","Group1"
"Cell751","Group1"
"Cell752","Group2"
"Cell753","Group4"
"Cell754","Group3"
"Cell755","Group1"
"Cell756","Group1"
"Cell757","Group3"
"Cell758","Group3"
"Cell759","Group1"
"Cell760","Group3"
"Cell761","Group4"
"Cell762","Group1"
"Cell763","Group1"
"Cell764","Group2"
"Cell765","Group1"
"Cell766","Group2"
"Cell767","Group1"
"Cell768","Group3"
"Cell769","Group1"
"Cell770","Group2"
"Cell771","Group1"
"Cell772","Group2"
"Cell773","Group1"
"Cell774","Group2"
"Cell775","Group1"
"Cell776","Group2"
"Cell777","Group2"
"Cell778","Group2"
"Cell779","Group2"
"Cell780","Group1"
"Cell781","Group1"
"Cell782","Group3"
"Cell783","Group3"
"Cell784","Group1"
"Cell785","Group3"
"Cell786","Group4"
"Cell787","Group3"
"Cell788","Group1"
"Cell789","Group1"
"Cell790","Group3"
"Cell791","Group2"
"Cell792","Group3"
"Cell793","Group2"
"Cell794","Group1"
"Cell795","Group3"
"Cell796","Group1"
"Cell797","Group3"
"Cell798","Group2"
"Cell799","Group2"
"Cell800","Group3"
"Cell801","Group1"
"Cell802","Group2"
"Cell803","Group4"
"Cell804","Group3"
"Cell805","Group3"
"Cell806","Group4"
"Cell807","Group1"
"Cell808","Group1"
"Cell809","Group4"
"Cell810","Group2"
"Cell811","Group1"
"Cell812","Group1"
"Cell813","Group1"
"Cell814","Group3"
"Cell815","Group1"
"Cell816","Group4"
"Cell817","Group2"
"Cell818","Group2"
"Cell819","Group4"
"Cell820","Group2"
"Cell821","Group1"
"Cell822","Group1"
"Cell823","Group3"
"Cell824","Group1"
"Cell825","Group2"
"Cell826","Group1"
"Cell827","Group1"
"Cell828","Group2"
"Cell829","Group1"
"Cell830","Group2"
"Cell831","Group1"
"Cell832","Group1"
"Cell833","Group1"
"Cell834","Group3"
"Cell835","Group1"
"Cell836","Group3"
"Cell837","Group2"
"Cell838","Group1"
"Cell839","Group2"
"Cell840","Group1"
"Cell841","Group4"
"Cell842","Group3"
"Cell843","Group1"
"Cell844","Group1"
"Cell845","Group1"
"Cell846","Group2"
"Cell847","Group4"
"Cell848","Group1"
"Cell849","Group1"
"Cell850","Group1"
"Cell851","Group3"
"Cell852","Group1"
"Cell853","Group1"
"Cell854","Group4"
"Cell855","Group4"
"Cell856","Group1"
"Cell857","Group2"
"Cell858","Group2"
"Cell859","Group1"
"Cell860","Group2"
"Cell861","Group1"
"Cell862","Group3"
"Cell863","Group1"
"Cell864","Group3"
"Cell865","Group2"
"Cell866","Group4"
"Cell867","Group2"
"Cell868","Group4"
"Cell869","Group1"
"Cell870","Group4"
"Cell871","Group1"
"Cell872","Group3"
"Cell873","Group3"
"Cell874","Group2"
"Cell875","Group3"
"Cell876","Group3"
"Cell877","Group2"
"Cell878","Group3"
"Cell879","Group2"
"Cell880","Group2"
"Cell881","Group2"
"Cell882","Group1"
"Cell883","Group3"
"Cell884","Group2"
"Cell885","Group4"
"Cell886","Group2"
"Cell887","Group1"
"Cell888","Group3"
"Cell889","Group3"
"Cell890","Group2"
"Cell891","Group1"
"Cell892","Group1"
"Cell893","Group1"
"Cell894","Group3"
"Cell895","Group3"
"Cell896","Group1"
"Cell897","Group2"
"Cell898","Group3"
"Cell899","Group1"
"Cell900","Group1"
"Cell901","Group1"
"Cell902","Group1"
"Cell903","Group4"
"Cell904","Group3"
"Cell905","Group2"
"Cell906","Group1"
"Cell907","Group3"
"Cell908","Group2"
"Cell909","Group1"
"Cell910","Group1"
"Cell911","Group1"
"Cell912","Group3"
"Cell913","Group2"
"Cell914","Group1"
"Cell915","Group1"
"Cell916","Group1"
"Cell917","Group2"
"Cell918","Group1"
"Cell919","Group2"
"Cell920","Group2"
"Cell921","Group3"
"Cell922","Group3"
"Cell923","Group2"
"Cell924","Group1"
"Cell925","Group1"
"Cell926","Group4"
"Cell927","Group4"
"Cell928","Group2"
"Cell929","Group2"
"Cell930","Group1"
"Cell931","Group1"
"Cell932","Group2"
"Cell933","Group3"
"Cell934","Group1"
"Cell935","Group3"
"Cell936","Group3"
"Cell937","Group4"
"Cell938","Group3"
"Cell939","Group1"
"Cell940","Group1"
"Cell941","Group1"
"Cell942","Group1"
"Cell943","Group1"
"Cell944","Group3"
"Cell945","Group3"
"Cell946","Group4"
"Cell947","Group1"
"Cell948","Group1"
"Cell949","Group2"
"Cell950","Group1"
"Cell951","Group2"
"Cell952","Group2"
"Cell953","Group2"
"Cell954","Group2"
"Cell955","Group4"
"Cell956","Group1"
"Cell957","Group2"
"Cell958","Group3"
"Cell959","Group1"
"Cell960","Group2"
"Cell961","Group3"
"Cell962","Group1"
"Cell963","Group1"
"Cell964","Group3"
"Cell965","Group1"
"Cell966","Group1"
"Cell967","Group3"
"Cell968","Group1"
"Cell969","Group3"
"Cell970","Group1"
"Cell971","Group1"
"Cell972","Group2"
"Cell973","Group4"
"Cell974","Group3"
"Cell975","Group4"
"Cell976","Group1"
"Cell977","Group1"
"Cell978","Group4"
"Cell979","Group1"
"Cell980","Group2"
"Cell981","Group1"
"Cell982","Group3"
"Cell983","Group1"
"Cell984","Group1"
"Cell985","Group2"
"Cell986","Group4"
"Cell987","Group3"
"Cell988","Group3"
"Cell989","Group3"
"Cell990","Group1"
"Cell991","Group1"
"Cell992","Group1"
"Cell993","Group2"
"Cell994","Group2"
"Cell995","Group1"
"Cell996","Group1"
"Cell997","Group2"
"Cell998","Group2"
"Cell999","Group1"
"Cell1000","Group2"
