"","orig.ident","nCount_RNA","nFeature_RNA","Cell","Batch","Group","ExpLibSize","RNA_snn_res.0.8","seurat_clusters"
"Cell40","SeuratProject",3338,466,"Cell40","Batch1","Group1",3749.62950596086,"1","1"
"Cell41","SeuratProject",1273,299,"Cell41","Batch1","Group3",1699.81167615771,"0","0"
"Cell42","SeuratProject",2089,405,"Cell42","Batch1","Group3",2779.24387100329,"0","0"
"Cell43","SeuratProject",3225,441,"Cell43","Batch1","Group4",3973.17822010273,"3","3"
"Cell44","SeuratProject",4226,555,"Cell44","Batch1","Group3",5047.40363037245,"0","0"
"Cell45","SeuratProject",2496,423,"Cell45","Batch1","Group3",3238.12451897628,"0","0"
"Cell46","SeuratProject",2568,419,"Cell46","Batch1","Group1",2941.04632321296,"1","1"
"Cell47","SeuratProject",2899,445,"Cell47","Batch1","Group3",3205.39786341442,"0","0"
"Cell48","SeuratProject",2558,422,"Cell48","Batch1","Group4",3244.0049948769,"3","3"
"Cell49","SeuratProject",2028,373,"Cell49","Batch1","Group2",2464.16992986307,"2","2"
"Cell50","SeuratProject",1624,355,"Cell50","Batch1","Group3",2079.23114168644,"0","0"
"Cell51","SeuratProject",3755,510,"Cell51","Batch1","Group3",4344.29705403133,"0","0"
"Cell52","SeuratProject",3040,482,"Cell52","Batch1","Group2",3742.23899951729,"1","1"
"Cell53","SeuratProject",7470,877,"Cell53","Batch1","Group1",8856.56036943656,"0","0"
"Cell54","SeuratProject",1995,401,"Cell54","Batch1","Group2",2586.66500161812,"2","2"
"Cell55","SeuratProject",1457,295,"Cell55","Batch1","Group4",1757.22500325708,"3","3"
"Cell56","SeuratProject",3694,510,"Cell56","Batch1","Group4",4296.41547315782,"3","3"
"Cell57","SeuratProject",3803,517,"Cell57","Batch1","Group4",4006.36573544772,"3","3"
"Cell58","SeuratProject",3397,501,"Cell58","Batch1","Group4",4157.66656068763,"3","3"
"Cell59","SeuratProject",3338,490,"Cell59","Batch1","Group2",4000.70248821353,"2","2"
"Cell60","SeuratProject",2353,398,"Cell60","Batch1","Group2",2819.30090175604,"2","2"
"Cell61","SeuratProject",1681,318,"Cell61","Batch1","Group1",2006.91127641086,"1","1"
"Cell62","SeuratProject",3084,474,"Cell62","Batch1","Group1",3649.52650006099,"1","1"
"Cell63","SeuratProject",4988,625,"Cell63","Batch1","Group2",5625.4695074845,"2","2"
"Cell64","SeuratProject",3335,484,"Cell64","Batch1","Group3",3949.49802035078,"0","0"
"Cell65","SeuratProject",2328,398,"Cell65","Batch1","Group2",2862.13975098637,"2","2"
"Cell66","SeuratProject",2414,415,"Cell66","Batch1","Group1",2812.38735971007,"1","1"
"Cell67","SeuratProject",4078,538,"Cell67","Batch1","Group4",4740.90994438527,"3","3"
"Cell68","SeuratProject",2872,455,"Cell68","Batch1","Group3",3322.23937049542,"0","0"
"Cell69","SeuratProject",2494,434,"Cell69","Batch1","Group3",2936.58374724804,"0","0"
"Cell70","SeuratProject",2275,394,"Cell70","Batch1","Group4",2847.15425385352,"0","0"
"Cell71","SeuratProject",3881,532,"Cell71","Batch1","Group1",4408.41502326834,"1","1"
"Cell72","SeuratProject",1806,365,"Cell72","Batch1","Group3",2140.6220661467,"3","3"
"Cell73","SeuratProject",3471,490,"Cell73","Batch1","Group4",4273.01717362311,"1","1"
"Cell74","SeuratProject",1975,361,"Cell74","Batch1","Group2",2409.59208048033,"3","3"
"Cell75","SeuratProject",2760,439,"Cell75","Batch1","Group1",3466.92786519441,"1","1"
"Cell76","SeuratProject",2446,393,"Cell76","Batch1","Group4",2918.58338159444,"3","3"
"Cell77","SeuratProject",3122,499,"Cell77","Batch1","Group3",3675.89558225031,"0","0"
"Cell78","SeuratProject",2967,484,"Cell78","Batch1","Group2",3436.67160482374,"1","1"
"Cell79","SeuratProject",2863,472,"Cell79","Batch1","Group1",3520.06762949515,"1","1"
"Cell80","SeuratProject",5375,674,"Cell80","Batch1","Group1",6085.76183277422,"1","1"
"Cell81","SeuratProject",5919,741,"Cell81","Batch1","Group1",6692.67219415946,"1","1"
"Cell82","SeuratProject",2030,374,"Cell82","Batch1","Group1",2494.51388273577,"1","1"
"Cell83","SeuratProject",2060,364,"Cell83","Batch1","Group4",2528.26796816702,"3","3"
"Cell84","SeuratProject",3830,547,"Cell84","Batch1","Group3",4529.25081142272,"0","0"
"Cell85","SeuratProject",4020,552,"Cell85","Batch1","Group3",4690.63525520368,"0","0"
"Cell86","SeuratProject",4488,563,"Cell86","Batch1","Group4",5169.73435346558,"3","3"
"Cell87","SeuratProject",1864,354,"Cell87","Batch1","Group4",2288.79311303841,"3","3"
"Cell88","SeuratProject",1812,362,"Cell88","Batch1","Group1",2270.87124129384,"1","1"
"Cell89","SeuratProject",2726,437,"Cell89","Batch1","Group4",3145.40481718896,"2","2"
"Cell90","SeuratProject",4081,572,"Cell90","Batch1","Group2",4930.47421140941,"2","2"
"Cell91","SeuratProject",3140,493,"Cell91","Batch1","Group3",3808.75689927771,"0","0"
"Cell92","SeuratProject",4071,603,"Cell92","Batch1","Group2",4969.25423437143,"2","2"
"Cell93","SeuratProject",8562,895,"Cell93","Batch1","Group4",9243.06831183029,"3","3"
"Cell94","SeuratProject",3408,504,"Cell94","Batch1","Group4",4085.01778118799,"3","3"
"Cell95","SeuratProject",4979,609,"Cell95","Batch1","Group4",5722.72682929732,"3","3"
"Cell96","SeuratProject",5255,704,"Cell96","Batch1","Group3",6294.10172984001,"0","0"
"Cell97","SeuratProject",5393,696,"Cell97","Batch1","Group3",6758.83907708727,"0","0"
"Cell98","SeuratProject",5149,661,"Cell98","Batch1","Group1",5778.0040521036,"1","1"
"Cell99","SeuratProject",4439,599,"Cell99","Batch1","Group1",5209.61671353056,"1","1"
"Cell100","SeuratProject",3619,534,"Cell100","Batch1","Group1",4485.53527035752,"1","1"
"Cell101","SeuratProject",5526,718,"Cell101","Batch1","Group4",6756.16435528652,"3","3"
"Cell102","SeuratProject",2197,426,"Cell102","Batch1","Group1",2709.8389307086,"1","1"
"Cell103","SeuratProject",2629,424,"Cell103","Batch1","Group4",3119.41323752969,"0","0"
"Cell104","SeuratProject",2587,438,"Cell104","Batch1","Group4",3123.45119648577,"3","3"
"Cell105","SeuratProject",3503,518,"Cell105","Batch1","Group1",4396.78557863908,"1","1"
"Cell106","SeuratProject",4975,680,"Cell106","Batch1","Group3",5796.72896912088,"0","0"
"Cell107","SeuratProject",3326,521,"Cell107","Batch1","Group2",3863.31508968741,"2","2"
"Cell108","SeuratProject",3046,460,"Cell108","Batch1","Group1",3715.40783920044,"1","1"
"Cell109","SeuratProject",3453,501,"Cell109","Batch1","Group4",4391.22881487136,"1","1"
"Cell110","SeuratProject",1398,313,"Cell110","Batch1","Group1",1837.25349709952,"1","1"
"Cell111","SeuratProject",2323,379,"Cell111","Batch1","Group4",2850.20066257863,"3","3"
"Cell112","SeuratProject",3345,507,"Cell112","Batch1","Group2",3936.37142515651,"2","2"
"Cell113","SeuratProject",1408,298,"Cell113","Batch1","Group1",1744.52642278295,"1","1"
"Cell114","SeuratProject",1459,304,"Cell114","Batch1","Group2",1693.82595612056,"2","2"
"Cell115","SeuratProject",2514,438,"Cell115","Batch1","Group3",3033.04207263906,"0","0"
"Cell116","SeuratProject",4056,576,"Cell116","Batch1","Group3",4568.99515656732,"0","0"
"Cell117","SeuratProject",2317,405,"Cell117","Batch1","Group3",2706.61423301369,"0","0"
"Cell118","SeuratProject",4211,602,"Cell118","Batch1","Group3",4659.70449414007,"0","0"
"Cell119","SeuratProject",1548,300,"Cell119","Batch1","Group4",1980.11118631386,"3","3"
"Cell120","SeuratProject",4131,589,"Cell120","Batch1","Group1",4689.40576860214,"1","1"
"Cell121","SeuratProject",6033,692,"Cell121","Batch1","Group4",6634.43061118845,"2","2"
"Cell122","SeuratProject",4188,580,"Cell122","Batch1","Group4",4909.89389043128,"3","3"
"Cell123","SeuratProject",2658,432,"Cell123","Batch1","Group4",3186.64750129938,"3","3"
"Cell124","SeuratProject",3587,512,"Cell124","Batch1","Group4",4198.74575072161,"3","3"
"Cell125","SeuratProject",5077,636,"Cell125","Batch1","Group1",5794.54880237281,"0","0"
"Cell126","SeuratProject",2829,447,"Cell126","Batch1","Group4",3327.61307064304,"0","0"
"Cell127","SeuratProject",6924,804,"Cell127","Batch1","Group3",8042.24842237151,"1","1"
"Cell128","SeuratProject",2593,401,"Cell128","Batch1","Group1",3157.83083728156,"1","1"
"Cell129","SeuratProject",5507,659,"Cell129","Batch1","Group3",6221.61067968756,"0","0"
"Cell130","SeuratProject",2467,413,"Cell130","Batch1","Group4",2876.4923581688,"3","3"
"Cell131","SeuratProject",3287,440,"Cell131","Batch1","Group4",3715.4406382855,"3","3"
"Cell132","SeuratProject",1450,294,"Cell132","Batch1","Group1",1849.91413807156,"1","1"
"Cell133","SeuratProject",7320,791,"Cell133","Batch1","Group1",8160.49638085684,"1","1"
"Cell134","SeuratProject",2241,385,"Cell134","Batch1","Group3",2778.94407442458,"0","0"
"Cell135","SeuratProject",3573,550,"Cell135","Batch1","Group3",4167.87757333164,"0","0"
"Cell136","SeuratProject",4915,605,"Cell136","Batch1","Group2",5331.20546662615,"2","2"
"Cell137","SeuratProject",3444,501,"Cell137","Batch1","Group4",4213.51476839463,"3","3"
"Cell138","SeuratProject",2230,407,"Cell138","Batch1","Group2",2882.58811277297,"3","3"
"Cell139","SeuratProject",1584,314,"Cell139","Batch1","Group3",2110.94775741169,"2","2"
"Cell140","SeuratProject",2433,412,"Cell140","Batch1","Group4",2789.10489453387,"3","3"
"Cell141","SeuratProject",3396,507,"Cell141","Batch1","Group2",3754.38240625009,"2","2"
"Cell142","SeuratProject",2993,490,"Cell142","Batch1","Group3",3693.24035888503,"0","0"
"Cell143","SeuratProject",2451,419,"Cell143","Batch1","Group2",2861.85072418869,"2","2"
"Cell144","SeuratProject",4054,547,"Cell144","Batch1","Group1",4204.90529677589,"1","1"
"Cell145","SeuratProject",1218,276,"Cell145","Batch1","Group2",1513.4610562759,"2","2"
"Cell146","SeuratProject",2121,415,"Cell146","Batch1","Group2",2672.31562501984,"2","2"
"Cell147","SeuratProject",1626,339,"Cell147","Batch1","Group3",2040.40781353148,"0","0"
"Cell148","SeuratProject",3366,498,"Cell148","Batch1","Group2",3814.54984248565,"2","2"
"Cell149","SeuratProject",2780,478,"Cell149","Batch1","Group3",3323.19856810101,"0","0"
"Cell150","SeuratProject",3710,550,"Cell150","Batch1","Group3",4611.0125368894,"0","0"
"Cell151","SeuratProject",4444,598,"Cell151","Batch1","Group1",5033.18562891568,"1","1"
"Cell152","SeuratProject",4316,573,"Cell152","Batch1","Group1",4679.66689236994,"1","1"
"Cell153","SeuratProject",3444,519,"Cell153","Batch1","Group4",3997.68396357561,"1","1"
"Cell154","SeuratProject",1108,246,"Cell154","Batch1","Group1",1462.91741503005,"1","1"
"Cell155","SeuratProject",6854,744,"Cell155","Batch1","Group4",7430.05935435342,"3","3"
"Cell156","SeuratProject",2681,452,"Cell156","Batch1","Group2",3253.06680241814,"1","1"
"Cell157","SeuratProject",2699,425,"Cell157","Batch1","Group4",3400.36368204356,"3","3"
"Cell158","SeuratProject",1727,360,"Cell158","Batch1","Group3",2190.36222162317,"0","0"
"Cell159","SeuratProject",2418,424,"Cell159","Batch1","Group4",2843.47037158831,"3","3"
"Cell160","SeuratProject",2882,462,"Cell160","Batch1","Group2",3120.68573714373,"2","2"
"Cell161","SeuratProject",2126,396,"Cell161","Batch1","Group1",2575.62765480895,"1","1"
"Cell162","SeuratProject",3549,504,"Cell162","Batch1","Group4",4068.68395192972,"3","3"
"Cell163","SeuratProject",2770,444,"Cell163","Batch1","Group3",3155.8569868295,"0","0"
"Cell164","SeuratProject",3872,532,"Cell164","Batch1","Group4",4291.96971476312,"3","3"
"Cell165","SeuratProject",6682,818,"Cell165","Batch1","Group3",7628.52021417261,"0","0"
"Cell166","SeuratProject",1823,357,"Cell166","Batch1","Group1",2124.89251425002,"1","1"
"Cell167","SeuratProject",5728,664,"Cell167","Batch1","Group4",6410.80276358403,"2","2"
"Cell168","SeuratProject",4202,548,"Cell168","Batch1","Group1",4693.51398164906,"1","1"
"Cell169","SeuratProject",1621,297,"Cell169","Batch1","Group4",1943.04100898221,"3","3"
"Cell170","SeuratProject",4118,570,"Cell170","Batch1","Group2",4814.19325001762,"2","2"
"Cell171","SeuratProject",1089,254,"Cell171","Batch1","Group3",1434.86740859858,"2","2"
"Cell172","SeuratProject",2272,395,"Cell172","Batch1","Group1",2715.58877215354,"1","1"
"Cell173","SeuratProject",3654,547,"Cell173","Batch1","Group2",4437.55048360531,"0","0"
"Cell174","SeuratProject",3033,465,"Cell174","Batch1","Group1",3580.77729309414,"1","1"
"Cell175","SeuratProject",5403,640,"Cell175","Batch1","Group4",6414.62548297489,"3","3"
"Cell176","SeuratProject",1705,327,"Cell176","Batch1","Group4",1988.84074294017,"3","3"
"Cell177","SeuratProject",3251,487,"Cell177","Batch1","Group2",3876.71387471571,"2","2"
"Cell178","SeuratProject",1534,316,"Cell178","Batch1","Group4",1955.3748280904,"3","3"
"Cell179","SeuratProject",2354,404,"Cell179","Batch1","Group1",2888.20525394508,"0","0"
"Cell180","SeuratProject",3067,474,"Cell180","Batch1","Group4",3744.49404436384,"3","3"
"Cell181","SeuratProject",4519,619,"Cell181","Batch1","Group2",5316.63414535985,"2","2"
"Cell182","SeuratProject",5230,665,"Cell182","Batch1","Group3",6144.36099721073,"0","0"
"Cell183","SeuratProject",3885,576,"Cell183","Batch1","Group2",4549.93624244014,"2","2"
"Cell184","SeuratProject",3252,484,"Cell184","Batch1","Group2",3906.48541961783,"2","2"
"Cell185","SeuratProject",2787,437,"Cell185","Batch1","Group2",3154.84891619247,"1","1"
"Cell186","SeuratProject",2127,371,"Cell186","Batch1","Group1",2376.71702401857,"3","3"
"Cell187","SeuratProject",5580,698,"Cell187","Batch1","Group2",6619.78598743836,"2","2"
"Cell188","SeuratProject",2186,384,"Cell188","Batch1","Group2",2656.85503463436,"2","2"
"Cell189","SeuratProject",2647,450,"Cell189","Batch1","Group2",3057.1962876802,"1","1"
"Cell190","SeuratProject",3666,550,"Cell190","Batch1","Group3",4247.24001690932,"1","1"
"Cell191","SeuratProject",4615,605,"Cell191","Batch1","Group3",5271.40122443573,"0","0"
"Cell192","SeuratProject",1640,348,"Cell192","Batch1","Group1",1986.5652803094,"1","1"
"Cell193","SeuratProject",6724,773,"Cell193","Batch1","Group2",7518.85996333008,"2","2"
"Cell194","SeuratProject",1304,288,"Cell194","Batch1","Group3",1746.00309428349,"0","0"
"Cell195","SeuratProject",3400,516,"Cell195","Batch1","Group4",4297.12922332847,"3","3"
"Cell196","SeuratProject",3475,496,"Cell196","Batch1","Group3",4039.15051933876,"0","0"
"Cell197","SeuratProject",3397,517,"Cell197","Batch1","Group3",4195.70756016861,"0","0"
"Cell198","SeuratProject",3915,516,"Cell198","Batch1","Group4",4168.868335817,"1","1"
"Cell199","SeuratProject",4763,606,"Cell199","Batch1","Group4",5504.60974551474,"3","3"
"Cell200","SeuratProject",4437,621,"Cell200","Batch1","Group2",4996.34757782258,"0","0"
"Cell201","SeuratProject",2366,398,"Cell201","Batch1","Group1",2694.86951052916,"0","0"
"Cell202","SeuratProject",3708,542,"Cell202","Batch1","Group3",4358.77313714512,"0","0"
"Cell203","SeuratProject",3491,542,"Cell203","Batch1","Group2",4196.9510572224,"2","2"
"Cell204","SeuratProject",5708,717,"Cell204","Batch1","Group3",6380.47410850791,"0","0"
"Cell205","SeuratProject",5151,662,"Cell205","Batch1","Group3",5986.39701406226,"3","3"
"Cell206","SeuratProject",3996,556,"Cell206","Batch1","Group2",4713.17752247505,"0","0"
"Cell207","SeuratProject",3628,529,"Cell207","Batch1","Group1",3991.39280525171,"1","1"
"Cell208","SeuratProject",1465,291,"Cell208","Batch1","Group3",1772.38683264873,"0","0"
"Cell209","SeuratProject",2768,433,"Cell209","Batch1","Group1",3510.33674320861,"1","1"
"Cell210","SeuratProject",4934,633,"Cell210","Batch1","Group1",5711.86093128791,"1","1"
"Cell211","SeuratProject",2160,397,"Cell211","Batch1","Group2",2536.05307434657,"2","2"
"Cell212","SeuratProject",1788,347,"Cell212","Batch1","Group2",2245.71112965163,"2","2"
"Cell213","SeuratProject",6957,745,"Cell213","Batch1","Group4",7824.23777384879,"0","0"
"Cell214","SeuratProject",3444,467,"Cell214","Batch1","Group4",3968.86192061619,"3","3"
"Cell215","SeuratProject",2452,424,"Cell215","Batch1","Group4",2979.26543528555,"3","3"
"Cell216","SeuratProject",1442,304,"Cell216","Batch1","Group2",1928.79861088463,"2","2"
"Cell217","SeuratProject",3323,490,"Cell217","Batch1","Group1",3697.79940664704,"1","1"
"Cell218","SeuratProject",1600,326,"Cell218","Batch1","Group3",1934.95451704189,"0","0"
"Cell219","SeuratProject",2698,440,"Cell219","Batch1","Group2",3293.55910021062,"2","2"
"Cell220","SeuratProject",3110,490,"Cell220","Batch1","Group3",3720.01940654612,"0","0"
"Cell221","SeuratProject",4916,662,"Cell221","Batch1","Group2",5783.09714920953,"2","2"
"Cell222","SeuratProject",4473,529,"Cell222","Batch1","Group4",5042.7749731194,"3","3"
"Cell223","SeuratProject",3511,539,"Cell223","Batch1","Group1",4037.18148137184,"1","1"
"Cell224","SeuratProject",2324,409,"Cell224","Batch1","Group2",2744.01989522597,"2","2"
"Cell225","SeuratProject",3911,556,"Cell225","Batch1","Group3",4810.8617902393,"0","0"
"Cell226","SeuratProject",2520,410,"Cell226","Batch1","Group1",3056.76394517698,"1","1"
"Cell227","SeuratProject",4760,631,"Cell227","Batch1","Group3",5489.26287169868,"2","2"
"Cell228","SeuratProject",1791,317,"Cell228","Batch1","Group4",1999.16973548655,"3","3"
"Cell229","SeuratProject",3721,524,"Cell229","Batch1","Group4",4339.78749418942,"0","0"
"Cell230","SeuratProject",1232,282,"Cell230","Batch1","Group2",1546.6391787803,"2","2"
"Cell231","SeuratProject",1188,276,"Cell231","Batch1","Group3",1471.02920987643,"3","3"
"Cell232","SeuratProject",2885,474,"Cell232","Batch1","Group1",3660.03792242518,"1","1"
"Cell233","SeuratProject",1167,263,"Cell233","Batch1","Group1",1455.80001268508,"1","1"
"Cell234","SeuratProject",4506,588,"Cell234","Batch1","Group2",5422.82896709265,"2","2"
"Cell235","SeuratProject",5996,698,"Cell235","Batch1","Group4",7081.3903270937,"0","0"
"Cell236","SeuratProject",3770,569,"Cell236","Batch1","Group2",4408.51729108259,"2","2"
"Cell237","SeuratProject",1563,321,"Cell237","Batch1","Group1",1997.86170448408,"1","1"
"Cell238","SeuratProject",2702,449,"Cell238","Batch1","Group1",3183.036655933,"1","1"
"Cell239","SeuratProject",2274,379,"Cell239","Batch1","Group4",2646.85488823497,"3","3"
"Cell240","SeuratProject",3868,515,"Cell240","Batch1","Group4",4441.50137045343,"3","3"
"Cell241","SeuratProject",3784,532,"Cell241","Batch1","Group1",4376.59100132025,"1","1"
"Cell242","SeuratProject",3037,469,"Cell242","Batch1","Group3",3673.21216868175,"0","0"
"Cell243","SeuratProject",2723,420,"Cell243","Batch1","Group1",3245.03329837981,"1","1"
"Cell244","SeuratProject",1540,310,"Cell244","Batch1","Group4",1888.3802182188,"3","3"
"Cell245","SeuratProject",2842,477,"Cell245","Batch1","Group3",3252.85248382875,"0","0"
"Cell246","SeuratProject",2659,455,"Cell246","Batch1","Group4",3252.0575736885,"0","0"
"Cell247","SeuratProject",1163,268,"Cell247","Batch1","Group2",1582.84645585389,"1","1"
"Cell248","SeuratProject",2439,427,"Cell248","Batch1","Group3",2764.85280908563,"0","0"
"Cell249","SeuratProject",1830,352,"Cell249","Batch1","Group3",2315.4608104218,"0","0"
"Cell250","SeuratProject",2101,362,"Cell250","Batch1","Group2",2457.40247264185,"2","2"
"Cell251","SeuratProject",2300,409,"Cell251","Batch1","Group1",2911.05518694891,"1","1"
"Cell252","SeuratProject",2988,456,"Cell252","Batch1","Group4",3494.40857695406,"3","3"
"Cell253","SeuratProject",3049,486,"Cell253","Batch1","Group3",3531.72905153781,"0","0"
"Cell254","SeuratProject",2882,457,"Cell254","Batch1","Group4",3379.66487480293,"3","3"
"Cell255","SeuratProject",3078,473,"Cell255","Batch1","Group1",3564.27553736518,"1","1"
"Cell256","SeuratProject",2280,395,"Cell256","Batch1","Group4",2752.28566414266,"3","3"
"Cell257","SeuratProject",1112,264,"Cell257","Batch1","Group2",1298.76947211457,"2","2"
"Cell258","SeuratProject",2681,434,"Cell258","Batch1","Group4",3297.05743298366,"3","3"
"Cell259","SeuratProject",5775,716,"Cell259","Batch1","Group3",6845.89497365702,"0","0"
"Cell260","SeuratProject",2117,401,"Cell260","Batch1","Group2",2287.29925743258,"2","2"
"Cell261","SeuratProject",2988,461,"Cell261","Batch1","Group3",3398.10438318224,"0","0"
"Cell262","SeuratProject",2698,438,"Cell262","Batch1","Group3",3091.39293646458,"0","0"
"Cell263","SeuratProject",4063,535,"Cell263","Batch1","Group4",4538.09320522131,"3","3"
"Cell264","SeuratProject",2963,474,"Cell264","Batch1","Group2",3673.63961748939,"2","2"
"Cell265","SeuratProject",3864,531,"Cell265","Batch1","Group3",4539.07731402946,"2","2"
"Cell266","SeuratProject",2162,378,"Cell266","Batch1","Group1",2558.62086848693,"1","1"
"Cell267","SeuratProject",1099,263,"Cell267","Batch1","Group4",1316.913401382,"3","3"
"Cell268","SeuratProject",1463,256,"Cell268","Batch1","Group4",1697.5140112258,"3","3"
"Cell269","SeuratProject",2411,406,"Cell269","Batch1","Group2",2814.68633207784,"2","2"
"Cell270","SeuratProject",2566,416,"Cell270","Batch1","Group1",3164.20136426475,"1","1"
"Cell271","SeuratProject",5793,708,"Cell271","Batch1","Group1",6278.38681426597,"1","1"
"Cell272","SeuratProject",1235,259,"Cell272","Batch1","Group2",1501.46830132328,"3","3"
"Cell273","SeuratProject",2585,419,"Cell273","Batch1","Group2",3107.96219975089,"1","1"
"Cell274","SeuratProject",1936,380,"Cell274","Batch1","Group1",2415.11667900023,"1","1"
"Cell275","SeuratProject",2077,399,"Cell275","Batch1","Group1",2561.89172204329,"3","3"
"Cell276","SeuratProject",3270,489,"Cell276","Batch1","Group1",3862.68696765253,"1","1"
"Cell277","SeuratProject",4052,546,"Cell277","Batch1","Group2",4676.6850549461,"2","2"
"Cell278","SeuratProject",4642,606,"Cell278","Batch1","Group1",5148.28066999153,"1","1"
"Cell279","SeuratProject",2278,382,"Cell279","Batch1","Group1",2737.40108722,"3","3"
"Cell280","SeuratProject",3431,507,"Cell280","Batch1","Group1",4109.06733014083,"1","1"
"Cell281","SeuratProject",1426,311,"Cell281","Batch1","Group2",1861.19392267323,"2","2"
"Cell282","SeuratProject",4630,602,"Cell282","Batch1","Group2",5046.81366516182,"2","2"
"Cell283","SeuratProject",2507,423,"Cell283","Batch1","Group2",3064.81803031895,"2","2"
"Cell284","SeuratProject",4808,618,"Cell284","Batch1","Group1",5527.06094872336,"1","1"
"Cell285","SeuratProject",6068,682,"Cell285","Batch1","Group1",6519.21985951914,"2","2"
"Cell286","SeuratProject",3109,447,"Cell286","Batch1","Group4",3694.50031132804,"3","3"
"Cell287","SeuratProject",4484,598,"Cell287","Batch1","Group2",5368.65422558983,"2","2"
"Cell288","SeuratProject",3822,583,"Cell288","Batch1","Group2",4594.64341420476,"2","2"
"Cell289","SeuratProject",2261,383,"Cell289","Batch1","Group2",2512.95520102097,"2","2"
"Cell290","SeuratProject",3856,544,"Cell290","Batch1","Group1",4335.04852933291,"3","3"
"Cell291","SeuratProject",3064,463,"Cell291","Batch1","Group1",3548.68095538371,"1","1"
"Cell292","SeuratProject",3840,520,"Cell292","Batch1","Group1",4441.71766480357,"0","0"
"Cell293","SeuratProject",3531,521,"Cell293","Batch1","Group3",4047.05116788496,"0","0"
"Cell294","SeuratProject",2395,428,"Cell294","Batch1","Group3",2937.40359653538,"0","0"
"Cell295","SeuratProject",3551,505,"Cell295","Batch1","Group2",4338.01126797774,"2","2"
